text,bio,pola
它 的 微 距 更 是 让 人 得 心 应 手,O O B-ASP I-ASP O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0
效 果 非 同 一 般,B-ASP I-ASP O O O O,1 1 0 0 0 0
取 景 十 分 方 便,B-ASP I-ASP O O O O,1 1 0 0 0 0
反 应 稍 显 慢,B-ASP I-ASP O O O,-1 -1 0 0 0
价 格 不 菲,B-ASP I-ASP O O,-1 -1 0 0
速 度 很 快,B-ASP I-ASP O O,1 1 0 0
白 平 衡 模 试 比 较 多,B-ASP I-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 1 0 0 0
还 原 性 还 是 不 错,B-ASP I-ASP I-ASP O O O O,1 1 1 0 0 0 0
反 应 速 度 也 不 错,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
液 晶 屏 也 很 俱 人 性 化,B-ASP I-ASP I-ASP O O O O O O,1 1 1 0 0 0 0 0 0
价 钱 便 宜 又 通 用,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
机 身 材 质 脆 弱,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
外 观 显 得 大,B-ASP I-ASP O O O,1 1 0 0 0
这 是 一 部 价 格 优 惠,O O O O B-ASP I-ASP O O,0 0 0 0 1 1 0 0
拍 照 效 果 还 算 可 以,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
这 款 机 子 外 形 比 较 小 巧,O O O O B-ASP I-ASP O O O O,0 0 0 0 1 1 0 0 0 0
拿 起 来 手 感 也 不 错,O O O B-ASP I-ASP O O O,0 0 0 1 1 0 0 0
画 面 显 示 效 果 很 好,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 1 0 0
并 且 它 的 拍 摄 模 式 也 是 非 常 的 多,O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 1 1 1 1 0 0 0 0 0 0
操 作 界 面 也 很 方 便 友 好,B-ASP I-ASP I-ASP I-ASP O O O O O O,1 1 1 1 0 0 0 0 0 0
它 的 噪 点 控 制 的 不 错,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 1 1 1 1 0 0 0
成 像 质 量 挺 好 的,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
画 面 柔 和 细 腻,B-ASP I-ASP O O O O,1 1 0 0 0 0
夜 景 拍 摄 都 挺 好,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
电 池 也 还 可 以 吧,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
而 且 长 焦 端 成 像 质 量 一 般,O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 1 1 1 1 0 0
相 机 反 应 速 度 有 点 慢,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 -1 -1 -1 -1 0 0 0
菜 单 设 计 比 较 合 理,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
色 彩 还 原 还 是 很 准 确 的,B-ASP I-ASP I-ASP I-ASP O O O O O O,1 1 1 1 0 0 0 0 0 0
颜 色 很 艳 丽,B-ASP I-ASP O O O,1 1 0 0 0
总 体 色 调 偏 暖,O O B-ASP I-ASP O O,0 0 1 1 0 0
色 温 较 低,B-ASP I-ASP O O,1 1 0 0
画 面 偏 黄,B-ASP I-ASP O O,-1 -1 0 0
广 角 照 片 非 常 清 晰,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
画 面 锐 度 好,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
光 圈 不 是 很 大,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
镜 头 畸 变 控 制 的 比 较 让 人 满 意,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0
广 角 表 现 就 差 了 些,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
画 面 色 彩 有 些 淡,B-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 0 0 0
层 次 感 也 差 了 些,B-ASP I-ASP I-ASP O O O O,-1 -1 -1 0 0 0 0
画 面 颗 粒 感 较 重,B-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 0 0
高 下 噪 点 明 显,O O B-ASP I-ASP O O,0 0 -1 -1 0 0
这 样 的 速 度 应 该 是 相 当 快 的 了,O O O B-ASP I-ASP O O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0 0
金 属 卡 口 密 实,O O B-ASP I-ASP O O,0 0 1 1 0 0
高 感 光 度 实 用,O B-ASP I-ASP I-ASP O O,0 1 1 1 0 0
使 对 焦 点 选 择 等 操 控 更 加 便 捷,O O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 0 1 1 0 0 0 0
条 件 下 相 机 的 自 动 白 平 衡 还 原 能 力 仍 然 欠 佳,O O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0
理 光 的 技 术 参 数 是 非 常 诱 人 的,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0
速 度 够 快,B-ASP I-ASP O O,1 1 0 0
性 价 比 较 高,B-ASP I-ASP I-ASP O O,1 1 1 0 0
配 置 厚 道,B-ASP I-ASP O O,1 1 0 0
的 做 工 却 很 精 细,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
质 量 稳 定 性 堪 忧,B-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 0 0
寸 够 大,O O O,0 0 0
显 示 效 果 不 敢 恭 维,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
防 滑 性 能 非 常 好,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
外 形 小 巧,B-ASP I-ASP O O,1 1 0 0
镜 头 小 了 一 点,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
光 线 有 点 暗 淡,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
设 计 更 具 流 线 型,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
但 手 感 依 然 保 持 良 好,O B-ASP I-ASP O O O O O O,0 1 1 0 0 0 0 0 0
屏 幕 实 际 显 示 效 果 较 佳,O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 1 1 1 1 0 0
的 对 焦 速 度 还 算 可 以,O B-ASP I-ASP I-ASP I-ASP O O O O,0 1 1 1 1 0 0 0 0
紫 边 较 少,B-ASP I-ASP O O,1 1 0 0
耐 用 度 有 限,B-ASP I-ASP I-ASP O O,-1 -1 -1 0 0
对 焦 速 度 快,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
电 力 的 确 非 常 充 沛,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
机 背 上 的 按 钮 也 过 于 集 中,O O O O B-ASP I-ASP O O O O O,0 0 0 0 -1 -1 0 0 0 0 0
但 是 画 面 显 得 有 些 粗 糙,O O B-ASP I-ASP O O O O O O,0 0 -1 -1 0 0 0 0 0 0
色 彩 还 原 相 当 准 确,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
惊 艳 的 外 观 与 轻 薄 的 设 计,O O O B-ASP I-ASP O O O O O O,0 0 0 1 1 0 0 0 0 0 0
暗 部 细 节 表 现 不 是 很 理 想,O O B-ASP I-ASP O O O O O O O,0 0 -1 -1 0 0 0 0 0 0 0
所 以 机 身 很 轻 薄,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
拍 摄 的 时 候 稳 定 性 欠 佳,O O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 0 -1 -1 -1 0 0
憨 厚 的 外 观 十 分 惹 人 喜 爱,O O O B-ASP I-ASP O O O O O O,0 0 0 1 1 0 0 0 0 0 0
但 是 实 用 性 却 毋 庸 置 疑,O O B-ASP I-ASP I-ASP O O O O O,0 0 1 1 1 0 0 0 0 0
作 为 新 品 硬 件 不 错,O O O O B-ASP I-ASP O O,0 0 0 0 1 1 0 0
效 果 很 好,B-ASP I-ASP O O,1 1 0 0
技 术 指 标 高,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
附 加 功 能 多,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
整 机 反 应 速 度 比 较 出 众,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 1 1 0 0 0 0
手 感 很 差,B-ASP I-ASP O O,-1 -1 0 0
但 是 相 应 的 内 存 卡 占 用 也 很 大,O O O O O B-ASP I-ASP I-ASP O O O O O,0 0 0 0 0 -1 -1 -1 0 0 0 0 0
系 统 的 技 术 是 先 进 的,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
体 积 小 巧,B-ASP I-ASP O O,1 1 0 0
图 象 质 量 很 好,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
操 控 方 便,B-ASP I-ASP O O,1 1 0 0
功 能 键 布 局 总 体 合 理,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 1 0 0 0 0
预 设 的 模 式 多,O O O B-ASP I-ASP O,0 0 0 1 1 0
屏 幕 很 清 楚,B-ASP I-ASP O O O,1 1 0 0 0
机 身 很 坚 固 可 靠,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
电 池 时 间 长,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
外 观 设 计 感 觉 没 有 专 业,B-ASP I-ASP I-ASP I-ASP O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0
实 用 性 一 点 不 差,B-ASP I-ASP I-ASP O O O O,1 1 1 0 0 0 0
较 轻 的 重 量 源 于 没 有 了 的 全 天 候 密 封 金 属 机 身,O O O B-ASP I-ASP O O O O O O O O O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
的 液 晶 屏 还 原 色 彩 真 实,O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 1 1 0 0
对 比 度 高,B-ASP I-ASP I-ASP O,1 1 1 0
电 量 消 耗 比 过 去 更 少,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
但 续 航 能 力 依 然 不 弱,O B-ASP I-ASP I-ASP I-ASP O O O O,0 1 1 1 1 0 0 0 0
而 且 环 的 宽 度 不 够,O O B-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 0 0
操 控 不 太 方 便,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
手 感 不 好,B-ASP I-ASP O O,-1 -1 0 0
但 变 焦 阻 尼 较 大,O B-ASP I-ASP I-ASP I-ASP O O,0 -1 -1 -1 -1 0 0
的 苗 条 身 材,O O O B-ASP I-ASP,0 0 0 1 1
机 身 给 本 人 感 觉 就 是 手 感 顺 滑,O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 1 1 0 0
背 面 的 操 控 界 面 设 计 得 简 单 明 快,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0 0
秒 的 开 机 速 度 着 实 让 本 人 吃 惊,O O B-ASP I-ASP I-ASP I-ASP O O O O O O O,0 0 -1 -1 -1 -1 0 0 0 0 0 0 0
优 势 十 足 镜 头 通 光 量 充 足,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 1 1 1 1 1 0 0
其 他 操 控 手 感 偏 于 生 硬,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 0 0 0 0
个 人 感 觉 它 的 光 圈 值 域 太 小,O O O O O O B-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 -1 -1 -1 -1 0 0
只 是 操 控 起 来 略 显 繁 琐,O O B-ASP I-ASP O O O O O O,0 0 -1 -1 0 0 0 0 0 0
功 能 局 限,B-ASP I-ASP O O,-1 -1 0 0
电 耗 厉 害,B-ASP I-ASP O O,-1 -1 0 0
实 用 功 能 强 大,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
拍 得 照 片 不 错,O O B-ASP I-ASP O O,0 0 1 1 0 0
局 部 做 得 比 较 粗 糙,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
保 留 了 广 角 还 是 很 吸 引 人 的,O O O B-ASP I-ASP O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0
不 过 个 人 感 觉 金 属 饰 条 没 有 的 精 致,O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 0
感 觉 开 机 速 度 不 错,O O B-ASP I-ASP I-ASP I-ASP O O,0 0 1 1 1 1 0 0
快 门 时 滞 在 同 类 产 品 中 也 是 很 低 的,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
镜 头 焦 距 也 缩 短 了,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
菜 单 设 计 比 较 合 理,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
多 元 化 的 设 置 有 更 大 的 选 择 余 地,O O O O B-ASP I-ASP O O O O O O O O,0 0 0 0 1 1 0 0 0 0 0 0 0 0
色 彩 还 原 还 是 很 准 确 的,B-ASP I-ASP I-ASP I-ASP O O O O O O,1 1 1 1 0 0 0 0 0 0
颜 色 很 艳 丽,B-ASP I-ASP O O O,1 1 0 0 0
广 角 照 片 非 常 清 晰,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
画 面 锐 度 好,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
光 圈 不 是 很 大,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
可 玩 性 相 当 高,B-ASP I-ASP I-ASP O O O,1 1 1 0 0 0
广 角 表 现 就 差 了 些,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
画 面 色 彩 有 些 淡,B-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 0 0 0
层 次 感 也 差 了 些,B-ASP I-ASP I-ASP O O O O,-1 -1 -1 0 0 0 0
画 面 颗 粒 感 较 重,B-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 0 0
价 格 合 理,B-ASP I-ASP O O,1 1 0 0
套 头 比 要 强 多 了,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
电 池 强 劲,B-ASP I-ASP O O,1 1 0 0
续 航 能 力 强,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
快 门 寿 命 大,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
取 景 器 小,B-ASP I-ASP I-ASP O,-1 -1 -1 0
虽 然 画 质 还 不 错,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
反 应 速 度 极 快,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
因 为 功 能 较 多,O O B-ASP I-ASP O O,0 0 1 1 0 0
尽 管 的 画 面 已 经 非 常 细 腻 了,O O O B-ASP I-ASP O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0
耐 用 型 和 取 景 亮 度 稍 差,B-ASP I-ASP I-ASP O O O O O O O,-1 -1 -1 0 0 0 0 0 0 0
机 身 小 巧,B-ASP I-ASP O O,1 1 0 0
色 彩 效 果 比 较 柔 和,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
液 晶 屏 幕 的 响 应 时 间 非 常 迅 速,O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 1 1 1 1 0 0 0 0
画 面 流 畅,B-ASP I-ASP O O,1 1 0 0
电 池 的 持 续 性 比 较 好,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 1 1 0 0 0
英 寸 液 晶 屏 似 乎 有 点 滞 后,O O B-ASP I-ASP I-ASP O O O O O O,0 0 -1 -1 -1 0 0 0 0 0 0
富 士 的 机 器 同 等 下 效 果 确 实 比 其 他 没 做 技 术 优 化 的 竞 争 型 号 要 好 一 些,O O O O O O O O B-ASP I-ASP O O O O O O O O O O O O O O O O O O O O,0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
色 彩 还 原 鲜 艳 而 不 失 真,B-ASP I-ASP O O O O O O O O,1 1 0 0 0 0 0 0 0 0
图 像 细 节 丰 富,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
锐 度 强,B-ASP I-ASP O,1 1 0
存 盘 速 度 都 非 常 理 想,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
微 距 性 能 极 佳,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
相 机 右 部 的 握 柄 部 位 手 感 极 佳,O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 1 1 0 0
场 景 模 式 过 多,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
上 显 示 的 拍 摄 信 息 不 够 全 面,O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 -1 -1 -1 -1 0 0 0 0
电 力 不 够 强 劲,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
但 是 其 电 池 续 航 能 力 依 然 一 般,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 -1 -1 -1 -1 -1 -1 0 0 0 0
手 感 在 消 费 端 算 是 相 当 不 错 了,B-ASP I-ASP O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0
万 像 素 翻 转 清 晰 度 不 错,O O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 0 1 1 1 0 0
本 人 感 觉 它 的 紫 边 抑 止 能 力 不 错,O O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 0 0 1 1 1 1 1 1 0 0
如 此 的 续 航 能 力 算 是 相 当 不 错 的,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0 0
此 处 的 人 性 化 设 计 值 得 赞 赏,O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 1 1 0 0 0 0
不 仅 成 像 清 晰 度 高,O O B-ASP I-ASP I-ASP I-ASP I-ASP O,0 0 1 1 1 1 1 0
而 且 锐 度 也 不 错,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
速 度 非 常 快,B-ASP I-ASP O O O,1 1 0 0 0
的 手 动 功 能 还 是 挺 丰 富 的,O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 1 1 1 1 0 0 0 0 0 0
虽 然 清 晰 度 不 错,O O B-ASP I-ASP I-ASP O O,0 0 1 1 1 0 0
存 储 较 慢 不 知 道 为 什 么 用 了 卡,B-ASP I-ASP O O O O O O O O O O O,-1 -1 0 0 0 0 0 0 0 0 0 0 0
这 无 论 是 读 取 还 是 写 入 的 速 度 都 不 像 卡 快 啊,O O O O O O O O O O O B-ASP I-ASP O O O O O O,0 0 0 0 0 0 0 0 0 0 0 -1 -1 0 0 0 0 0 0
而 且 视 频 的 效 果 很 差,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 -1 0 0
而 且 电 池 毕 竟 还 是 不 太 经 用,O O B-ASP I-ASP O O O O O O O O,0 0 -1 -1 0 0 0 0 0 0 0 0
外 观 比 较 差 可 能 是 个 人 眼 光 问 题 吧,B-ASP I-ASP O O O O O O O O O O O O O,-1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
感 觉 上 总 觉 得 的 模 样 长 得 惨 了 点,O O O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 0 0 -1 -1 0 0 0 0 0
感 觉 的 开 机 速 度 并 不 快,O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 -1 -1 -1 -1 0 0 0
外 观 沉 稳 大 气,B-ASP I-ASP O O O O,1 1 0 0 0 0
的 整 机 做 工 很 不 错,O B-ASP I-ASP I-ASP I-ASP O O O,0 1 1 1 1 0 0 0
的 画 面 给 人 的 第 一 感 觉 就 是 鲜 艳 锐 利,O B-ASP I-ASP O O O O O O O O O O O O O,0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
佳 能 的 长 焦 端 品 质 也 不 错,O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 0 0 1 1 1 1 1 0 0 0
这 个 画 面 表 现 还 不 错,O O B-ASP I-ASP O O O O O,0 0 1 1 0 0 0 0 0
显 示 效 果 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
不 过 这 块 看 上 去 不 够 鲜 艳,O O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0
可 视 角 度 不 大,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
对 焦 速 度 和 存 盘 速 度 一 般,B-ASP I-ASP I-ASP I-ASP O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0
的 内 部 降 噪 程 序 效 果 非 常 明 显,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 1 1 1 1 1 1 0 0 0 0
自 由 度 稍 显 不 足,B-ASP I-ASP I-ASP O O O O,-1 -1 -1 0 0 0 0
的 内 部 降 噪 程 序 效 果 非 常 明 显,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 1 1 1 1 1 1 0 0 0 0
超 微 距 下 背 景 虚 化 效 果 较 好,O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 0 0 1 1 1 1 1 1 0 0
色 彩 还 原 表 现 准 确,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
可 玩 性 还 是 相 当 高 的,B-ASP I-ASP I-ASP O O O O O O,1 1 1 0 0 0 0 0 0
续 航 能 力 偏 弱,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
的 快 门 时 滞 较 短,O B-ASP I-ASP I-ASP I-ASP O O,0 1 1 1 1 0 0
有 时 使 用 不 便,O O B-ASP I-ASP O O,0 0 -1 -1 0 0
的 变 焦 是 最 快 的,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
的 对 焦 速 度 令 人 满 意,O B-ASP I-ASP I-ASP I-ASP O O O O,0 1 1 1 1 0 0 0 0
在 弱 光 下 的 对 焦 速 度 也 相 当 不 错,O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 0 1 1 1 1 0 0 0 0 0
的 功 能 是 众 多 七 百 万 像 素 机 型 中 最 丰 富,O B-ASP I-ASP O O O O O O O O O O O O O O,0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
卡 价 格 较 高,O B-ASP I-ASP O O,0 -1 -1 0 0
的 对 焦 准 确 性 相 当 好,O B-ASP I-ASP I-ASP I-ASP I-ASP O O O,0 1 1 1 1 1 0 0 0
的 噪 点 控 制 的 很 好,O B-ASP I-ASP O O O O O,0 1 1 0 0 0 0 0
整 个 画 面 非 常 干 净,O O B-ASP I-ASP O O O O,0 0 1 1 0 0 0 0
的 电 池 性 能 也 只 能 算 一 般,O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 -1 -1 -1 -1 0 0 0 0 0 0
且 较 大,B-ASP I-ASP I-ASP,1 1 1
外 观 采 用 银 色 给 人 一 种 时 尚 的 感 觉,B-ASP I-ASP O O O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
短 片 模 式 也 比 较 吸 引 人 有,B-ASP I-ASP I-ASP I-ASP O O O O O O O,1 1 1 1 0 0 0 0 0 0 0
场 景 模 式 比 较 多,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
场 景 模 式 比 较 多,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
尺 寸 太 小,B-ASP I-ASP O O,-1 -1 0 0
发 现 拍 摄 效 果 颜 色 略 微 偏 暖,O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 -1 -1 0 0 0 0
但 做 工 是 很 精 细 的,O B-ASP I-ASP O O O O O,0 1 1 0 0 0 0 0
可 以 使 用 的 存 储 介 质 非 常 丰 富,O O O O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 0 0 0 1 1 1 1 0 0 0 0
微 距 处 理 做 的 不 错,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
操 作 很 方 便,B-ASP I-ASP O O O,1 1 0 0 0
倍 的 光 学 变 焦 显 得 有 些 不 足,O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 -1 -1 -1 -1 0 0 0 0 0 0
人 物 脸 部 色 彩 偏 暖,O O O O B-ASP I-ASP O O,0 0 0 0 -1 -1 0 0
曝 光 有 些 不 足,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
外 型 坚 固,B-ASP I-ASP O O,1 1 0 0
做 工 良 好,B-ASP I-ASP O O,1 1 0 0
握 持 稳 定,B-ASP I-ASP O O,1 1 0 0
画 质 优 异,B-ASP I-ASP O O,1 1 0 0
锐 度 很 好,B-ASP I-ASP O O,1 1 0 0
色 彩 还 原 真 实 自 然,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
锐 度 好,B-ASP I-ASP O,1 1 0
电 池 性 能 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
操 作 方 式 过 于 繁 琐,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
按 键 过 多,B-ASP I-ASP O O,-1 -1 0 0
高 时 躁 点 增 加 明 显,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
等 待 照 片 写 入 存 储 卡 的 时 间 太 长,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 0
机 身 做 工 在 同 档 次 产 品 中 比 较 出 众,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
整 体 成 像 表 现 一 般,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
大 大 的 镜 头 虽 然 在 一 边,O O O B-ASP I-ASP O O O O O,0 0 0 1 1 0 0 0 0 0
录 音 效 果 还 算 可 以 了,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
把 短 片 在 电 脑 上 播 放 时 图 像 很 清 晰,O O O O O O O O O O B-ASP I-ASP O O O,0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
流 畅 度 表 现 相 当 好,B-ASP I-ASP I-ASP O O O O O,1 1 1 0 0 0 0 0
声 音 也 不 错,B-ASP I-ASP O O O,1 1 0 0 0
两 个 录 音 孔 的 效 果 我 感 觉 还 可 以,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 1 1 1 1 1 1 0 0 0 0 0 0
英 寸 的 液 晶 屏 一 是 有 点 小,O O O B-ASP I-ASP I-ASP O O O O O,0 0 0 -1 -1 -1 0 0 0 0 0
二 是 回 放 照 片 感 觉 效 果 一 般,O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 -1 -1 0 0
拍 摄 动 态 短 片 容 量 太 大,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 -1 -1 0 0
